symbol,clock,band,n,n_dates,ic_ridge,ic_rv20,ic_ewma,ic_park,ic_gk,ic_absr
DOGEUSDT,H1,CONFIRM,6931,292,0.3846825079341251,0.344976236960647,0.3591682670715631,0.3754206019658718,0.37312300066755527,0.24058710582512421
DOGEUSDT,H4,DESIGN,554,93,0.20160665260698754,0.16041672941261206,0.1485128112620137,0.2102581385394833,0.2136544740068934,0.10254288832105486
DOGEUSDT,H4,CONFIRM,1734,292,0.36708173912952746,0.32484265882347674,0.33555008089468735,0.3494837893796298,0.3511111202306579,0.2128249512638282
DOGEUSDT,D1,DESIGN,91,91,0.105303392259914,-0.0002707437490046186,0.027074374900461856,0.06192068800764454,0.08729096989966556,0.04448160535117057
DOGEUSDT,D1,CONFIRM,286,286,0.3736869515192094,0.19517635062964805,0.189358034694195,0.35721433344759945,0.36030469662618764,0.23891801110776542
XRPUSDT,H1,DESIGN,2426,102,0.2958913044697159,0.2658923339330007,0.2717825835085568,0.27067948094487954,0.26506314947038384,0.18317981598748823
XRPUSDT,H1,CONFIRM,7002,292,0.3509158068799034,0.3290732558776446,0.3290092912823798,0.32289780822189446,0.3242613606539748,0.18892611699720535
XRPUSDT,H4,DESIGN,606,102,0.1719764611669524,0.13061716610505214,0.16891479780445362,0.19758712281357657,0.19932690533932146,0.1362106874181378
XRPUSDT,H4,CONFIRM,1748,292,0.2573762251768437,0.2099771518158228,0.2288085380940406,0.2790816097192941,0.2762888769240452,0.17676286220942153
XRPUSDT,D1,DESIGN,101,101,0.11788619069994857,-0.06755406975587687,-0.027548129144348444,0.09667471367167861,0.08698336337649977,0.04799082117324126
XRPUSDT,D1,CONFIRM,289,289,0.1342739529889035,0.025908304498269898,0.025043749751421866,0.15225808376088773,0.12697321322037944,0.18425657542066715
LINKUSDT,H1,DESIGN,2364,103,0.2531865696730747,0.1824397076847783,0.20282934451066914,0.2536490804432574,0.2541362996603532,0.1231436124654822
LINKUSDT,H1,CONFIRM,6866,292,0.3323785917431335,0.29421069923311544,0.3042825705650838,0.30568775560179706,0.31176496162460116,0.16104374899483498
LINKUSDT,H4,DESIGN,592,103,0.1610969752879444,0.14522454307939386,0.14741980543370564,0.22915259864293636,0.21809045114232217,0.12386607325655453
LINKUSDT,H4,CONFIRM,1726,292,0.2859612664876285,0.24437524824003298,0.2725687603747912,0.2602385284062408,0.2634454469304628,0.15304921308092542
LINKUSDT,D1,DESIGN,98,98,0.026515948459983802,-0.05011826661311197,-0.058597759628687456,0.05829173281308774,0.061900299013701074,0.01401985348966203
LINKUSDT,D1,CONFIRM,285,285,0.22735232875846179,0.12157569730177044,0.11868777684166264,0.2202105444865348,0.2326660298312198,0.08035168246249327
ADAUSDT,H1,DESIGN,2376,103,0.2677870562761974,0.21310362186106266,0.2390448800974805,0.2566531671473925,0.24858066280393346,0.17785877892924398
ADAUSDT,H1,CONFIRM,6896,292,0.3772623075842805,0.3407453441626905,0.3509183871082722,0.3489363103012245,0.3528422669636392,0.21098312455303764
ADAUSDT,H4,DESIGN,597,103,0.2178143469113028,0.19946455005836514,0.1948915774092194,0.20396160881157577,0.2089987560813844,0.10941926427489605
ADAUSDT,H4,CONFIRM,1723,292,0.3406905444496529,0.307246698320663,0.3210483891665014,0.31160624780956603,0.3069991497397217,0.1969086012783007
ADAUSDT,D1,DESIGN,99,99,0.19860235003092144,-0.03156462585034013,-0.12017316017316017,0.2321830550401979,0.22243661100803958,0.21043973543618055
ADAUSDT,D1,CONFIRM,284,284,0.2229716030982248,0.18915778472209488,0.1730065720714467,0.3211173307279047,0.3263503655370946,0.17589943604345057
1000LUNCUSDT,H1,DESIGN,1019,64,0.2013555060403022,0.15425420371191836,0.1517207647547224,0.19777901727900232,0.18687554864600212,0.14567847580485066
1000LUNCUSDT,H1,CONFIRM,3662,276,0.3167616294428402,0.2838756764339176,0.3025197575084585,0.27953224999967463,0.2789628060486382,0.1831218695062101
1000LUNCUSDT,H4,DESIGN,251,61,0.09682831216061581,0.03157971223207701,0.06884034256309497,0.019959863236150358,-0.010948250789930674,0.15126046912841404
1000LUNCUSDT,H4,CONFIRM,856,223,0.27689161735799706,0.28013695008547895,0.2857238900041195,0.23168604491597788,0.22863604324465928,0.15992156856105136
1000LUNCUSDT,D1,DESIGN,53,53,0.03386550556361877,-0.05491049830672472,0.1569101757781003,-0.13618771165940977,-0.14997581035316884,0.06890156632520561
1000LUNCUSDT,D1,CONFIRM,174,174,0.17099699364847648,0.11918341591927438,0.16195458979733812,0.1791055315988856,0.19727110525422784,0.015036883189662275
MATICUSDT,H1,DESIGN,7852,329,0.40269572013228316,0.3690138825719674,0.38352991249071533,0.3691420127803962,0.3693000035340199,0.2356778224010076
MATICUSDT,H1,CONFIRM,6961,292,0.33821993783192367,0.30680094902033234,0.3113869334981792,0.3218610897498741,0.32107491434406693,0.1971382878199715
MATICUSDT,H4,DESIGN,1968,330,0.3547475260613576,0.3342588901695887,0.3445786207089516,0.31137118922858015,0.30478253776920194,0.20425532456543027
MATICUSDT,H4,CONFIRM,1739,292,0.29819517253508715,0.2413916816615576,0.2742476571589925,0.2655100800688932,0.26893118355536083,0.16146819319025724
MATICUSDT,D1,DESIGN,327,327,0.25695351351518414,0.23032700305641776,0.21365574757461397,0.2933976573962888,0.3042568903654713,0.19506002110140044
MATICUSDT,D1,CONFIRM,283,283,0.19631903139761808,0.20262375697686608,0.15008825980467422,0.2100842783185845,0.20603925787640662,0.12277378276122414
