symbol,clock,band,n,ic_absr_1bar,ic_park_1bar,ic_gk_1bar,ic_rv20_cc20,ic_park20,ic_gk20,ic_absr20,ic_ewma
SOLUSDT,H1,CONFIRM,7005,0.1975163427978963,0.32886244166515083,0.33065766673058533,0.30670154661623755,0.33829654368146606,0.33915063925827377,0.32037940319046226,0.32694969808994945
SOLUSDT,H4,DESIGN,1017,0.18583572479515897,0.289040386582117,0.2873166588299638,0.26809045087348565,0.27732600464792373,0.27636169204028543,0.2716732263067237,0.27869337249272796
SOLUSDT,H4,CONFIRM,1749,0.18671018970740677,0.2759789612679324,0.27215883547728914,0.28105365509501345,0.29963722477583316,0.2972600060794823,0.2902070835681927,0.3000100491097524
SOLUSDT,D1,DESIGN,168,0.2467086115174554,0.17520411417233162,0.14435794514099445,0.19677466706485597,0.19803011064756032,0.20589515690186833,0.19295120623979684,0.04413826615576962
SOLUSDT,D1,CONFIRM,289,0.07024917472059818,0.1392171777433083,0.14224585371674026,0.13716193373901286,0.13213624329551843,0.12819349754835838,0.14384681393282334,0.1441768086544963
AVAXUSDT,H1,DESIGN,3644,0.1594271484064245,0.25667199294019866,0.25387530148510973,0.23653338726361317,0.24374124886109866,0.23928920267166673,0.23330883946757286,0.25364747503903
AVAXUSDT,H1,CONFIRM,6483,0.2099759002607647,0.35569822803909373,0.35942962516639304,0.3275042569037695,0.3490805269318806,0.34845558872454874,0.33506830188246245,0.33522107298682424
AVAXUSDT,H4,DESIGN,924,0.14602511018423547,0.228592130710686,0.21715522636020781,0.16861468097834648,0.19129475998617113,0.19092607395901684,0.18116753457023801,0.1784245064684325
AVAXUSDT,H4,CONFIRM,1626,0.18881851712355027,0.287205813150019,0.29010307162253535,0.30448682259478504,0.3309647139543533,0.3297940108262622,0.3191690271178592,0.31420869374784727
AVAXUSDT,D1,DESIGN,151,-0.010641338445451376,0.09674982289113371,0.14231788079470198,0.03736493551760194,0.04218561671353956,0.05347163884729171,0.0362478020171873,0.028867201115371204
AVAXUSDT,D1,CONFIRM,272,0.14350417298332802,0.263546633527098,0.2700280509592426,0.20026321627146457,0.16656959382053532,0.16700753314926545,0.1577426339494125,0.20304267037499069
ORDIUSDT,H1,CONFIRM,2982,0.2085229925691066,0.3459254109795574,0.34959929653259114,0.3438163938176481,0.36679816653816916,0.3666655250645533,0.351136098637139,0.3500679102530468
ORDIUSDT,H4,CONFIRM,754,0.13171672448867902,0.25873035896641666,0.26702803440192674,0.27182246025375423,0.2896433999881004,0.28656287877571585,0.2911534917017603,0.2936867665805159
ORDIUSDT,D1,CONFIRM,123,0.24075531077891424,0.32371567502031445,0.30498123331312643,0.2703305774464408,0.3003520751093567,0.3068921369892244,0.32662968099861306,0.2183642671963473
1000BONKUSDT,H1,CONFIRM,3559,0.23003626741208216,0.37616952281490407,0.37979625222068747,0.3776805372894242,0.39185980623139677,0.386865748482843,0.3858120900483795,0.39481364131608915
