symbol,clock,band,n,frac_high_markov,frac_high_hmm,agreement,markov_high_rv20pct,hmm_high_rv20pct,markov_high_absrpct,hmm_high_absrpct,markov_high_parkpct,hmm_high_parkpct,auc_rv20_for_markov,auc_rv20_for_hmm,auc_absr_for_markov,auc_absr_for_hmm,mean_runlen_markov_high,mean_runlen_markov_low,mean_runlen_hmm_high,mean_runlen_hmm_low,gap_markov,gap_hmm,medgap_markov,medgap_hmm,mean_y,ic_markov_state,ic_hmm_state,y_HH,y_HL,y_LH,y_LL,n_HH,n_HL,n_LH,n_LL
DOGEUSDT,H4,DESIGN,554,0.4223826714801444,0.11552346570397112,0.628158844765343,0.6835678360949118,0.7228959837545127,0.5669914221358263,0.8659465252707581,0.5859406337745687,0.8676387635379061,0.8162393162393162,0.7509885204081632,0.6144163995726496,0.9127232142857142,10.636363636363637,14.545454545454545,2.0,14.848484848484848,6.300387429051767,32.91678813355445,16.689010065395465,42.251992376083905,103.86927772130231,0.06922605967934317,0.11698090647433171,128.6564391419116,102.33399264799203,144.0412045389378,98.65513694553032,46,188,18,302
DOGEUSDT,H4,CONFIRM,1734,0.4515570934256055,0.09573241061130335,0.6003460207612457,0.6713701332084182,0.7751229832826113,0.5629664982964112,0.9434120565306209,0.5984406233382091,0.9225656953071804,0.8119409158605648,0.8039306460536022,0.6142838149799968,0.9900360370051635,16.3125,19.408163265306122,1.5660377358490567,14.654205607476635,32.83234721940484,55.847235313842674,14.78784115594545,46.683134913863,91.05910049431272,0.128242880052519,0.14832848901866616,139.62987436005955,103.09293551898922,148.0612370863001,73.24387356498715,128,655,38,913
DOGEUSDT,D1,CONFIRM,286,0.5524475524475524,0.01048951048951049,0.458041958041958,0.698437638311056,0.9965034965034966,0.5831083473488535,0.7738927738927739,0.6131716384880942,0.9603729603729603,0.9394778481012658,1.0,0.6817889636075949,0.7750294464075382,15.8,11.636363636363637,1.5,94.33333333333333,100.6271220014059,11.869445207718172,92.56123424593088,109.47860790404218,226.30640959424022,0.20964939436640193,0.039283055787093776,NaN,271.9866657723381,NaN,170.71520233472228,3,155,0,128
XRPUSDT,H1,DESIGN,2426,0.4752679307502061,0.06141797197032152,0.5704863973619126,0.7201061212407648,0.8012305172709518,0.5840607926989272,0.8817397655156387,0.615302815909463,0.9198047439096589,0.9190710527337749,0.8207225449711589,0.6598047785448528,0.9065000751607113,18.015625,19.890625,1.8395061728395061,28.11111111111111,13.174319442539591,17.593712063320773,14.448381765954643,13.84437892577806,41.119459539464344,0.19893433149914533,0.07773452144646924,59.760601852691764,46.54206613803169,43.07259899608281,34.73366631719186,130,1023,19,1254
XRPUSDT,H1,CONFIRM,7002,0.4795772636389603,0.10411311053984576,0.5885461296772351,0.6750212097998376,0.8251589101134734,0.5733265353096596,0.8957509298734556,0.5927125347833062,0.9038505165484757,0.8361686363936508,0.8628666807930082,0.6407608123595601,0.9416623642553701,19.988095238095237,21.69047619047619,2.2852664576802506,19.603125,16.619056611844073,43.16492464616822,11.105963002788211,26.24350162056865,44.37360463933408,0.17354742836394105,0.1960433264833328,87.34732687222808,45.50970952032041,62.452369387487316,35.47052112261444,603,2755,126,3518
XRPUSDT,H4,DESIGN,606,0.4174917491749175,0.08415841584158416,0.6138613861386139,0.675191432186697,0.8023684721413318,0.5467851132939381,0.8174140943506115,0.5498017193023651,0.8560635475312237,0.799337132875746,0.8292527821939587,0.578900222821888,0.8456809750927398,13.31578947368421,17.65,2.3181818181818183,24.130434782608695,6.596619241923236,33.61667675388705,3.0803707812365744,16.734629960384325,79.87283124420117,0.045859668384790345,0.10157501276334924,111.15338115554083,79.31023854926525,109.58194550773842,75.5775200643274,35,218,16,337
XRPUSDT,H4,CONFIRM,1748,0.4765446224256293,0.13443935926773457,0.5983981693363845,0.6688796800184604,0.7920030186474514,0.5662952824150255,0.8318771605238814,0.5974590064858896,0.8664540630020937,0.8220783395325343,0.8370266203540943,0.6261029001764641,0.8830940360844314,16.66,17.941176470588236,2.7011494252873565,17.193181818181817,26.345117141673356,75.96513785130367,16.908345096597884,48.028414436362965,88.19112690830268,0.1302464343084694,0.19682958392566058,160.0955914051953,85.62030208756137,132.29314314219954,72.22266142323647,183,650,52,863
XRPUSDT,D1,DESIGN,101,0.37623762376237624,0.0,0.6237623762376238,0.7384054194893173,NaN,0.5294424179260031,NaN,0.5620114643043251,NaN,0.8742690058479532,NaN,0.539264828738513,NaN,9.5,15.75,NaN,101.0,17.08180090781073,NaN,16.825675498496906,NaN,200.4674398530751,0.061339153999821774,NaN,NaN,211.12242457774906,NaN,194.04062366993833,0,38,0,63
XRPUSDT,D1,CONFIRM,289,0.5397923875432526,0.07612456747404844,0.5363321799307958,0.6911986514062639,0.8823529411764706,0.5459253837281519,0.8324944951242531,0.5812926980747051,0.889273356401384,0.9117023327549644,0.9119850187265918,0.5960333526123,0.8580183861082737,13.0,10.23076923076923,3.142857142857143,33.375,-51.61031658187417,151.84559720043165,-7.06887172603254,197.03952753482855,235.29900267742377,0.013148140839596083,0.18267169217836104,375.585419468134,184.61595029927835,NaN,263.15785868701676,22,134,0,133
LINKUSDT,H1,DESIGN,2364,0.4877326565143824,0.08037225042301184,0.5740270727580372,0.6850458525761531,0.7978025647876037,0.5513354040001585,0.8166354973728738,0.5825693071704361,0.8838565321934279,0.8608161812469248,0.8235994770735486,0.5997992527302847,0.8440783421294727,17.208955223880597,17.808823529411764,2.4050632911392404,27.175,11.61976589375984,34.04521186785573,6.726204144567042,19.021642892512737,52.52517070556572,0.08453393615763102,0.1108587261892508,83.76623103736529,54.16440902165297,84.35230540102845,46.16407327883028,168,985,22,1189
