symbol,clock,design_dates,n_windows,design_ic_ridge,confirm_sub_ridge_p5,confirm_sub_ridge_med,confirm_sub_ridge_p95,design_below_p5_ridge,design_ic_rv20,confirm_sub_rv20_p5,confirm_sub_rv20_med,confirm_sub_rv20_p95,design_below_p5_rv20
BNBUSDT,H1,99,194,0.3303549273603149,0.20316100136328427,0.3344787799289022,0.37039223710358743,false,0.28434436606032043,0.20948165549134654,0.31535738628442356,0.3540166192820318,false
DYDXUSDT,H1,91,202,0.1785785539155977,0.18518955654486088,0.23783112619814864,0.42211793756408783,true,0.1769714714927523,0.12244901726847002,0.1845624565775365,0.39548383341493093,false
GALAUSDT,H1,99,194,0.29488558604382664,0.23034912478586458,0.2782199168726983,0.35286258154802025,false,0.26449147199771555,0.19762579393710897,0.2462577769792137,0.3222664998715071,false
OPUSDT,H1,101,192,0.3248697859179248,0.2516889363595639,0.28377368420344307,0.32835510945024127,false,0.28829144164429227,0.18714767593263829,0.22881633276752533,0.27968895905752855,false
BTCUSDT,H4,102,191,0.30583978048426186,0.17407111505770723,0.27489678532682943,0.32783308788388554,false,0.2401964356829792,0.017064770122732057,0.12736347505951437,0.17772435144884804,false
ETHUSDT,H4,102,191,0.19794547844322344,0.1454422652484259,0.25108171679500596,0.2899922717604656,false,0.17124350828415683,0.05656587612417392,0.19008339028240953,0.22486391406660597,false
SOLUSDT,H4,103,190,0.2607904422761929,0.21878586218640936,0.26465343411180453,0.3421555611877593,false,0.20904828663450759,0.17066595372717636,0.21129496006716875,0.33738910139280753,false
AVAXUSDT,H4,102,189,0.17346143820479665,0.15657179336838584,0.19800755121644312,0.3586008901865727,false,0.09859685344518249,0.1259758068064508,0.20028086010941076,0.36328874326921723,true
DOGEUSDT,H4,93,200,0.20160665260698754,0.200919835574876,0.2830501419384336,0.4909686875926932,false,0.16041672941261206,0.16452652499178677,0.2549090677769877,0.4605797290506154,true
XRPUSDT,H4,102,191,0.1719764611669524,0.195071277237615,0.24479783855396145,0.28258539768330837,true,0.13061716610505214,0.14559848671594341,0.1941017443212917,0.252300286275072,true
LINKUSDT,H4,103,190,0.1610969752879444,0.17557242440585086,0.24861872958657733,0.3646445230715055,true,0.14522454307939386,0.10935649528775185,0.19637857290601873,0.3431916644255053,false
ADAUSDT,H4,103,190,0.2178143469113028,0.1833807727395123,0.29176736832936834,0.3602699911119446,false,0.19946455005836514,0.18607435786392598,0.2523515881083105,0.35721161267957524,false
1000LUNCUSDT,H4,61,163,0.09682831216061581,0.056401009231579834,0.1391791417289965,0.3877208651755237,false,0.03157971223207701,0.025908266696447968,0.22688593565530957,0.3751126479927839,false
INJUSDT,H4,65,228,-0.004244981923762071,0.07454122220961107,0.14166869578171376,0.38936674720579495,true,0.017648781893420326,0.0628106124835561,0.144836751368362,0.4086508791815518,true
BNBUSDT,H4,100,193,0.25901776205388555,0.15551638954280966,0.3013222809946608,0.3522180954253575,false,0.21996041756214874,0.12418388049357014,0.24378124106228458,0.3109860981669124,false
DYDXUSDT,H4,83,208,-0.005724786043657569,0.12083155800436009,0.18904747889159645,0.3835958806788133,true,0.04945797864597228,0.06949007141893378,0.17515221811312776,0.35719958760305964,true
GALAUSDT,H4,96,197,0.2505453139462952,0.1564014754712522,0.20554422154677968,0.38662143329642096,false,0.2370072994411443,0.10607431859057016,0.1607144511443057,0.3510134552689314,false
OPUSDT,H4,102,191,0.2481401951184307,0.1499032098347245,0.21505745311605776,0.306100761017864,false,0.21867252690193328,0.09330386378946823,0.14950033257940934,0.27578171155701575,false
BTCUSDT,D1,101,189,0.24926033779848572,0.1867140361094933,0.25525917297612116,0.34516482236458934,false,0.13435061153174138,-0.1090320326150262,0.02512521840419336,0.1195107746068724,false
ETHUSDT,D1,101,188,0.15984857309260336,0.1390430984274898,0.2460512521840419,0.360940594059406,false,0.028608037274315667,-0.0556919044845661,0.0600873616773442,0.19690681421083284,false
SOLUSDT,D1,101,189,0.07715783343040186,-0.011429237041351192,0.07857891671520094,0.2005148514851485,false,0.15304601048340127,-0.06868258590564938,0.07798485730926034,0.17330926033779845,false
AVAXUSDT,D1,91,182,0.08991877687529862,0.031325051759834376,0.16016881669055583,0.28596352922439877,false,0.05163242554546903,0.023846153846153847,0.1084567606306737,0.23448399426660296,false
