key,point,n_grid,env_low,env_high,min_low,max_low,min_high,max_high,sign_low_agree,sign_high_agree,n_cells_low_gt0,low_b1,low_b3,low_b7,arm,symbol,clock,band,metric,model,target
V-REGIME-HMM|DYDXUSDT|D1|CONFIRM|gap_high_low_bps||,-5.681834600042919,15,-143.0007473021506,147.44630151051834,-143.0007473021506,-128.16967252616303,126.52693386220099,147.44630151051834,true,true,0,-132.94806170212058,-137.0260823406734,-143.0007473021506,V-REGIME-HMM,DYDXUSDT,D1,CONFIRM,gap_high_low_bps,"",""
V-REGIME-HMM|DYDXUSDT|D1|CONFIRM|ic_state_vs_target||,0.037488311857349896,15,-0.07293136697732562,0.14787179578989149,-0.07293136697732562,-0.06368591281911962,0.13852530441369215,0.14787179578989149,true,true,0,-0.06682922185693105,-0.07114345659534406,-0.07293136697732562,V-REGIME-HMM,DYDXUSDT,D1,CONFIRM,ic_state_vs_target,"",""
V-MEASURE|DYDXUSDT|D1|CONFIRM|ic_rv20_vs_target|rv20|target_abs_oo,0.20537729400688687,15,0.04748406777064689,0.34317626992670264,0.04748406777064689,0.0861794150046148,0.3170779479730413,0.34317626992670264,true,true,15,0.084503220802919,0.06729185175110981,0.04748406777064689,V-MEASURE,DYDXUSDT,D1,CONFIRM,ic_rv20_vs_target,rv20,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|ic_parkinson_vs_target|parkinson|target_abs_oo,0.336040304885337,15,0.21268132810332957,0.4434614266642041,0.21268132810332957,0.2259524781139646,0.4355322158158843,0.4434614266642041,true,true,15,0.22476981479761893,0.22202110895598692,0.21268132810332957,V-MEASURE,DYDXUSDT,D1,CONFIRM,ic_parkinson_vs_target,parkinson,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|ic_gk_vs_target|gk|target_abs_oo,0.351454751802319,15,0.22668981324193146,0.45881964247085527,0.22668981324193146,0.24269291014194527,0.4518700347002898,0.45881964247085527,true,true,15,0.24058098319790866,0.23927063970389403,0.22668981324193146,V-MEASURE,DYDXUSDT,D1,CONFIRM,ic_gk_vs_target,gk,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|ic_ewma_vol_vs_target|ewma_vol|target_abs_oo,0.23902810198738692,15,0.08840173237661829,0.3684112461990663,0.08840173237661829,0.12434976643321496,0.34770386372265094,0.3684112461990663,true,true,15,0.11935034721195506,0.10667648000933098,0.08840173237661829,V-MEASURE,DYDXUSDT,D1,CONFIRM,ic_ewma_vol_vs_target,ewma_vol,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|oos_ic|ridge_rv20|target_abs_oo,0.20537729400688687,15,0.04748406777064689,0.34317626992670264,0.04748406777064689,0.0861794150046148,0.3170779479730413,0.34317626992670264,true,true,15,0.084503220802919,0.06729185175110981,0.04748406777064689,V-MEASURE,DYDXUSDT,D1,CONFIRM,oos_ic,ridge_rv20,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|dmae_vs_uncond|ridge_rv20|target_abs_oo,25.879709836984528,15,19.57612449839084,32.05956474104548,19.57612449839084,22.467499466204714,29.143110873918655,32.05956474104548,true,true,15,22.39450903790952,21.121783666028605,19.57612449839084,V-MEASURE,DYDXUSDT,D1,CONFIRM,dmae_vs_uncond,ridge_rv20,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|oos_ic|ridge_rv20|rv_next,0.9780445969125212,15,0.9591910261683689,0.9891603381690108,0.9591910261683689,0.9642758336818592,0.9884805054663516,0.9891603381690108,true,true,15,0.964008349030566,0.96247811785638,0.9591910261683689,V-MEASURE,DYDXUSDT,D1,CONFIRM,oos_ic,ridge_rv20,rv_next
V-MEASURE|DYDXUSDT|D1|CONFIRM|dmae_vs_uncond|ridge_rv20|rv_next,0.03199991667511944,15,0.026622615837223782,0.03709776037736477,0.026622615837223782,0.029941344409530786,0.03401091474234236,0.03709776037736477,true,true,15,0.029872579678566206,0.02845423568997202,0.026622615837223782,V-MEASURE,DYDXUSDT,D1,CONFIRM,dmae_vs_uncond,ridge_rv20,rv_next
V-MEASURE|DYDXUSDT|D1|CONFIRM|oos_ic|ridge_parkinson|target_abs_oo,0.336040304885337,15,0.21268132810332957,0.4434614266642041,0.21268132810332957,0.2259524781139646,0.4355322158158843,0.4434614266642041,true,true,15,0.22476981479761893,0.22202110895598692,0.21268132810332957,V-MEASURE,DYDXUSDT,D1,CONFIRM,oos_ic,ridge_parkinson,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|dmae_vs_uncond|ridge_parkinson|target_abs_oo,59.19045102524236,15,41.621329639714446,76.55787858416774,41.621329639714446,48.57211584381859,69.28473875927628,76.55787858416774,true,true,15,48.40679409224986,45.376796475918184,41.621329639714446,V-MEASURE,DYDXUSDT,D1,CONFIRM,dmae_vs_uncond,ridge_parkinson,target_abs_oo
V-MEASURE|DYDXUSDT|D1|CONFIRM|oos_ic|ridge_parkinson|rv_next,0.5469419496869306,15,0.3716912904161894,0.6780120845962468,0.3716912904161894,0.460153634132114,0.6255968376708911,0.6780120845962468,true,true,15,0.4576684562451921,0.4219564825056278,0.3716912904161894,V-MEASURE,DYDXUSDT,D1,CONFIRM,oos_ic,ridge_parkinson,rv_next
