symbol,clock,band,n_obs,live,shuf_p50,shuf_p95,shuf_sd,shuf_outside_c90,shuf_p,blk_p50,blk_p95,blk_retention,blk_p,blk_above_p95,unr_p50,unr_sd,layer,z_live
SOLUSDT,D1,DESIGN,101,0.07715783343040186,-0.014269073966220153,0.26044787419918447,0.15954407953735636,false,0.2935323383084577,0.13404193360512523,0.2589563191613279,1.737243357487923,0.7731134432783608,false,0.002143273150844496,0.09851717063177803,LIVE_INSIDE_DESTROYED_NULL,0.7614364054357081
SOLUSDT,D1,CONFIRM,289,0.1300486218828302,0.00011186015988545522,0.10750571729706067,0.06549203435629122,true,0.03980099502487562,0.09852046295191505,0.18149405401105673,0.7575663742187053,0.2773613193403298,false,-0.0037858449667899615,0.059450553937202624,LIVE_INSIDE_DESTROYED_NULL,2.251189568241685
AVAXUSDT,H1,DESIGN,2187,0.2540693149331212,-0.011989136528161887,0.12295063909660987,0.06228236440587167,true,0.004975124378109453,0.06925281775369874,0.10052540992066276,0.27257450500044916,0.0004997501249375312,true,-0.0006256524379891276,0.02103552769122046,COLLAPSED_AS_EXPECTED,12.107847785411707
AVAXUSDT,H1,CONFIRM,6483,0.3705699077108809,-0.03840065808169332,0.21665881923664626,0.09395116690077486,true,0.004975124378109453,0.1904556131556866,0.20498477365570417,0.5139532627789095,0.0004997501249375312,true,0.00023039232120814756,0.012476407547599913,COLLAPSED_AS_EXPECTED,29.683185161814865
AVAXUSDT,H4,DESIGN,555,0.17346143820479662,-0.008985589272462105,0.12115315021396683,0.06921159146033357,true,0.03482587064676617,0.05273415927472692,0.11827215238778829,0.3040108500222771,0.0004997501249375312,true,0.00021360249165962048,0.04273749435024418,COLLAPSED_AS_EXPECTED,4.053766800021751
AVAXUSDT,H4,CONFIRM,1626,0.3170832822454934,-0.02998523181737576,0.22645400076821542,0.09340416892636197,true,0.004975124378109453,0.18520697569980907,0.21555041044000248,0.5840956810722598,0.0004997501249375312,true,-0.0006765148936698923,0.024489586366700178,COLLAPSED_AS_EXPECTED,12.975302742198968
AVAXUSDT,D1,DESIGN,91,0.0899187768752986,-0.023514890906195247,0.19934702978181235,0.12631397016335105,false,0.21890547263681592,0.07490842490842489,0.23457636566332216,0.8330676585193056,0.43278360819590206,false,-0.0017916865742952696,0.1036877532728777,LIVE_INSIDE_DESTROYED_NULL,0.8844869384741813
AVAXUSDT,D1,CONFIRM,272,0.18990988390814745,-0.007975798891796289,0.11626034319489928,0.07510032379628885,true,0.009950248756218905,0.04195538561720459,0.13327193210522928,0.22092260157189553,0.004997501249375313,true,0.0014234192115676813,0.060206907200739554,COLLAPSED_AS_EXPECTED,3.130645194381692
DOGEUSDT,H1,DESIGN,2217,0.24361783609041934,-0.0009065629258992793,0.07624350622314323,0.048009719811716894,true,0.004975124378109453,0.02477413241217416,0.05734478808498496,0.10169260514644413,0.0004997501249375312,true,-0.0005218541354887595,0.021397582486335793,COLLAPSED_AS_EXPECTED,11.40968566808014
DOGEUSDT,H1,CONFIRM,6931,0.38468250793412506,-0.025225057911955673,0.18099808857726263,0.08423208977384941,true,0.004975124378109453,0.1651204062585876,0.17996102035141784,0.4292381453613265,0.0004997501249375312,true,0.0003791371946865409,0.012060525757715051,COLLAPSED_AS_EXPECTED,31.864561998352503
DOGEUSDT,H4,DESIGN,554,0.20160665260698754,-0.006994640097991127,0.15065324682411999,0.07058004277637979,true,0.029850746268656716,0.008111478226720276,0.06909530394965194,0.040234179387586035,0.0004997501249375312,true,-0.0006046724199383352,0.04378158093236696,COLLAPSED_AS_EXPECTED,4.618639179322886
DOGEUSDT,H4,CONFIRM,1734,0.3670817391295274,-0.021527509536406857,0.22065268094057447,0.10678290602396079,true,0.009950248756218905,0.2092899308064035,0.23802450736614522,0.5701453068809671,0.0004997501249375312,true,-0.00045956448450652104,0.024193511376902364,COLLAPSED_AS_EXPECTED,15.191730455667836
DOGEUSDT,D1,DESIGN,91,0.10530339225991397,0.005398948877209746,0.1774486383182035,0.11327318686816736,false,0.21890547263681592,0.08057015448319796,0.21841933428889942,0.7651240169388991,0.3953023488255872,false,-0.0018633540372670803,0.10561723270824884,LIVE_INSIDE_DESTROYED_NULL,1.0146710299938695
DOGEUSDT,D1,CONFIRM,286,0.37368695151920933,-0.022541902582899002,0.2345998077147271,0.10660083595684497,true,0.004975124378109453,0.2021166512712787,0.2830428343213721,0.5408715783347038,0.0009995002498750624,true,-0.0010835122622579385,0.05936390780973555,COLLAPSED_AS_EXPECTED,6.313102988142666
XRPUSDT,H1,DESIGN,2426,0.2958913044697159,-0.011956145396142434,0.109694269663327,0.06275038779601681,true,0.004975124378109453,0.07854885120710259,0.10811696806319328,0.265465223278104,0.0004997501249375312,true,-0.00011948408996565646,0.020121575800020823,COLLAPSED_AS_EXPECTED,14.71111365737942
XRPUSDT,H1,CONFIRM,7002,0.3509158068799035,-0.007708092292145067,0.09210819943318199,0.04885891302599521,true,0.004975124378109453,0.0680025568418681,0.08497039773002242,0.1937859609303411,0.0004997501249375312,true,0.0004485156696829028,0.011815421930792516,COLLAPSED_AS_EXPECTED,29.661851541404335
XRPUSDT,H4,DESIGN,606,0.17197646116695242,-0.00561756546418056,0.154103269634428,0.07721857942861078,true,0.04975124378109453,0.10190577146601912,0.15707253767517107,0.5925565090392828,0.01699150424787606,true,-0.002087508776655236,0.04005730989199947,COLLAPSED_AS_EXPECTED,4.345373426545874
XRPUSDT,H4,CONFIRM,1748,0.2573762251768438,-0.01051639594617293,0.13272641538552601,0.05667369639565513,true,0.004975124378109453,0.06371438905151869,0.09691124241820072,0.24755351434554762,0.0004997501249375312,true,0.00004286770339617359,0.023334631996709872,COLLAPSED_AS_EXPECTED,11.02795868003108
XRPUSDT,D1,DESIGN,101,0.11788619069994859,0.0036459046182583774,0.12567887501181713,0.09053157146176516,false,0.07462686567164178,0.037047283189682964,0.17546411026315006,0.314263129292031,0.15892053973013492,false,-0.0005299957192675916,0.09934243344825552,LIVE_INSIDE_DESTROYED_NULL,1.1920000578694863
